"编号","标题","帖子链接","作者","媒体名","日期","调性","标签"
"27988","[求助!!!]----方太燃气灶打火一直响","37:32.0","null","贴吧导入","2013-12-30","正","配套信息;售后质量"
"27973","[求助!!!]----方太燃气灶打火一直响","37:33.0","null","贴吧导入","2013-12-30","正","配套信息;售后质量"
"27890","[求助!!!]----方太燃气灶打火一直响","58:48.0","null","贴吧导入","2013-12-30","正","产品评测;配套信息;售后质量"
"27837","[求助!!!]----方太燃气灶打火一直响","58:49.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27820","[求助!!!]----方太燃气灶打火一直响","58:50.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27714","[求助!!!]----方太燃气灶打火一直响","58:52.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27666","[求助!!!]----方太燃气灶打火一直响","58:53.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27614","[求助!!!]----方太燃气灶打火一直响","58:51.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27587","[求助!!!]----方太燃气灶打火一直响","58:54.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27538","[求助!!!]----方太燃气灶打火一直响","58:59.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27453","[求助!!!]----方太燃气灶打火一直响","58:57.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27422","[求助!!!]----方太燃气灶打火一直响","58:58.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27393","[求助!!!]----方太燃气灶打火一直响","59:00.0","null","贴吧导入","2013-12-30","正","新品负面;品牌资讯;售后质量"
"27377","金钱诚可贵，生命价更高--宝宝换鞋记","http://bbs.16888.com/thread-618224-1-1.html","null","车主社区","2013-12-30","正","新品负面;品牌资讯;售后质量"
