SiteId,SiteName,PlateName,SiteUrl
54770,长沙车友会,51汽车论坛,http://bbs.51auto.com/forum-forumdisplay-fid-323-page=1.html
54776,韩泰轮胎吧,百度贴吧,http://tieba.baidu.com/f?kw=%BA%AB%CC%A9%C2%D6%CC%A5
54780,发米财经论坛,发米论剑,http://bbs.8miu.com/forum.php?mod=forumdisplay&fid=125&page=1
54786,振兴洪泽,洪泽湖网论坛,http://bbs.ehzh.com/forum.php?mod=forumdisplay&fid=34&page=1&filter=typeid&typeid=0
54789,股票论坛,环球金融论坛,http://bbs.hqjr.cn/forum.php?mod=forumdisplay&fid=36&page=1
54800,特别新闻,猫扑,http://tt.mop.com/topic/list_70_61_0_1.html
54841,视频制作交流区,忧郁的蓝色,http://bbs.blueshow.net/forum-53-1.html
54848,"A890,A860,V880",忧郁的蓝色,http://bbs.blueshow.net/forum-61-1.html
54851,samsung,忧郁的蓝色,http://bbs.mwinphone.com/
54852,索爱手机软件,忧郁的蓝色,http://bbs.blueshow.net/forum-1247-1.html
54855,X108X608,忧郁的蓝色,http://bbs.blueshow.net/forum-1024-1.html
54856,S508,忧郁的蓝色,http://bbs.blueshow.net/forum-1026-1.html
54857,E108E708,忧郁的蓝色,http://bbs.blueshow.net/forum-1025-1.html
54858,D508,忧郁的蓝色,http://bbs.blueshow.net/forum-719-1.html
54864,T208T308,忧郁的蓝色,http://bbs.blueshow.net/forum-622-1.html
54865,A系列,忧郁的蓝色,http://bbs.blueshow.net/forum-309-1.html
54867,X系列,忧郁的蓝色,http://bbs.blueshow.net/forum-320-1.html
54868,E/V/A/N/I系列,忧郁的蓝色,http://bbs.blueshow.net/forum-725-1.html
54869,M系列,忧郁的蓝色,http://bbs.blueshow.net/forum-126-1.html
54870,LG手机专区,忧郁的蓝色,http://bbs.blueshow.net/forum-254-1.html
54872,Siemens手机,忧郁的蓝色,http://bbs.blueshow.net/forum-129-1.html
54873,CDMA联通新时空,忧郁的蓝色,http://bbs.blueshow.net/forum-639-1.html
54875,其它品牌手机,忧郁的蓝色,http://bbs.blueshow.net/forum-261-1.html
54930,教育管理,新思考教育论坛,http://bbs.cersp.com/index.asp?boardid=24
54931,物理教学,新思考教育论坛,http://bbs.cersp.com/index.asp?boardid=15
55028,篮球一族,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-63.html
55029,开心一刻,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-10.html
55041,婚嫁区,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-192.html
55047,外语乐园,厦门小鱼,http://bbs.hongxiu.com/list.asp?bid=49
55054,快乐足球,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-48.html
55059,福州生活,厦门小鱼,http://bbs.xmfish.com/thread.php?fid=127&page=1
55068,【鱼宝大剧组】,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-252.html
55073,资讯转载,厦门小鱼,http://bbs.xmfish.com/thread.php?fid=181&page=1
55087,【商务英语】,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-60.html
55088,【版主申请】,厦门小鱼,http://bbs.xmfish.com/thread-htm-fid-116.html
55095,年货大街,厦门小鱼,http://bbs.xmfish.com/thread.php?fid=186&page=1
55109,库尔勒俱乐部,橡树摄影,http://xiangshu.com/thread.php?fid=281
55111,尼康摄影作品交流版,橡树摄影,http://xiangshu.com/thread.php?fid=341
55313,乱弹广场,新恩施论坛,http://bbs.enshi.cn/
55314,社会法制,新华网,http://www.bj.xinhuanet.com/bjpd_sdzx/sh.htm
